Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
CUY_00_050_03,1060.0,1124.9246950521003,64.92469505210033
CUY_00_082_04,850.0,765.7909822466971,84.20901775330287
CUY_00_074_01,1296.0,874.373285699587,421.626714300413
CUY_00_081_01,1109.0,750.7518820454659,358.2481179545341
CUY_00_076_03,1426.0,1173.350597700065,252.649402299935
CUY_00_050_05,1060.0,727.290885731545,332.709114268455
CUY_00_055_04,1170.0,1296.9720013541862,126.9720013541862
CUY_00_076_10,1426.0,1323.4408177083533,102.55918229164672
CUY_00_050_01,1060.0,757.9706501420569,302.0293498579431
CUY_00_050_04,1060.0,884.2990918323997,175.70090816760035
CUY_00_076_08,1426.0,900.2405380457049,525.7594619542951
CUY_00_055_08,1170.0,1155.0028954545628,14.997104545437196
CUY_00_076_11,1426.0,1330.9603678089688,95.03963219103116
CUY_00_081_03,1109.0,822.939563011376,286.060436988624
CUY_00_076_13,1426.0,1328.2533297727473,97.74667022725271
CUY_00_082_03,850.0,558.2513994697053,291.74860053029465
CUY_00_081_08,1109.0,844.595867301149,264.40413269885096
CUY_00_055_09,1170.0,821.1348709872283,348.8651290127717
CUY_00_055_05,1170.0,998.8970353657821,171.10296463421787
CUY_00_081_11,1109.0,853.6193274218879,255.38067257811213
CUY_00_082_08,850.0,672.5485609990632,177.45143900093683
CUY_00_076_15,1426.0,879.7873617720303,546.2126382279697
CUY_00_050_07,1060.0,779.6269544318299,280.37304556817014
CUY_00_074_09,1296.0,756.7675221259584,539.2324778740416
CUY_00_050_02,1060.0,1305.3938974668756,245.39389746687561
CUY_00_074_10,1296.0,982.3540251444276,313.6459748555724
CUY_00_076_01,1426.0,1310.2064095312696,115.79359046873037
CUY_00_081_02,1109.0,613.5952882102365,495.4047117897635
CUY_00_074_03,1296.0,1173.0498156960405,122.95018430395953
CUY_00_071_01,1216.0,924.9046623757241,291.0953376242759
CUY_00_076_06,1426.0,890.3147319128922,535.6852680871078
CUY_00_081_09,1109.0,1249.4484447182954,140.44844471829538
CUY_00_076_05,1426.0,877.0803237358086,548.9196762641914
CUY_00_081_06,1109.0,893.3225519531385,215.6774480468615
CUY_00_050_08,1060.0,749.2479720253427,310.75202797465727
CUY_00_071_02,1216.0,1037.6979138849588,178.30208611504122
CUY_00_076_12,1426.0,1058.7526541666825,367.24734583331747
CUY_00_055_02,1170.0,724.5838476953234,445.41615230467664
CUY_00_082_05,850.0,747.1424979971704,102.85750200282962
CUY_00_076_04,1426.0,950.1703507137927,475.8296492862073
CUY_00_076_02,1426.0,982.9555891524769,443.04441084752307
CUY_00_074_02,1296.0,1419.6910589962336,123.69105899623355
CUY_00_050_06,1060.0,960.0961568466054,99.90384315339463
CUY_00_071_03,1216.0,1188.690479905321,27.3095200946791
CUY_00_081_05,1109.0,927.0101364038965,181.98986359610353
CUY_00_074_06,1296.0,1115.9012349313614,180.0987650686386
CUY_00_082_07,850.0,708.6424014820183,141.35759851798173
CUY_00_071_05,1216.0,986.5649732007724,229.43502679922756
CUY_00_081_04,1109.0,959.4945928385561,149.50540716144394
CUY_00_055_06,1170.0,1349.9096340625204,179.90963406252035
CUY_00_082_06,850.0,644.2750526207483,205.72494737925172
CUY_00_091_01,915.0,1028.67445376422,113.67445376422006
CUY_00_171_02,785.0,642.1695785925759,142.83042140742407
CUY_00_212_03,762.0,684.2790591560235,77.72094084397645
CUY_00_087_04,1500.0,801.2832587216029,698.7167412783971
CUY_00_087_07,1500.0,1039.5026059091065,460.4973940908935
CUY_00_082_10,850.0,613.5952882102365,236.4047117897635
CUY_00_190_03,950.0,783.2363384801254,166.76366151987463
CUY_00_155_04,868.0,747.1424979971704,120.85750200282962
CUY_00_155_01,868.0,726.3885397194712,141.61146028052883
CUY_00_213_03,644.0,582.0131777876508,61.98682221234924
CUY_00_190_01,950.0,812.1114108664895,137.88858913351055
CUY_00_171_01,785.0,631.642208451714,153.35779154828595
CUY_00_091_02,915.0,895.1272439772862,19.872756022713816
CUY_00_082_09,850.0,717.9666436067816,132.03335639321836
CUY_00_212_05,762.0,843.9943032930998,81.99430329309985
CUY_00_190_02,950.0,594.0444579486358,355.9555420513642
CUY_00_186_03,387.0,477.0402583830564,90.04025838305643
CUY_00_087_06,1500.0,877.0803237358086,622.9196762641914
CUY_00_217_03,1014.0,742.9315499408256,271.06845005917444
CUY_00_186_01,387.0,414.47760154593425,27.47760154593425
CUY_00_087_03,1500.0,830.158331107967,669.841668892033
CUY_00_213_02,644.0,813.0137568785634,169.0137568785634
CUY_00_213_01,644.0,587.1264718560694,56.87352814393057
CUY_00_091_08,915.0,1044.3151179735005,129.3151179735005
CUY_00_121_06,1010.0,777.5214804036575,232.4785195963425
CUY_00_190_04,950.0,848.8068153574939,101.19318464250614
CUY_00_217_02,1014.0,739.9237299005794,274.07627009942064
CUY_00_091_04,915.0,957.990682818433,42.990682818433015
CUY_00_155_05,868.0,842.189611268952,25.810388731047965
CUY_00_212_01,762.0,548.6263753409173,213.37362465908268
CUY_00_213_05,644.0,584.7202158238724,59.27978417612758
CUY_00_087_05,1500.0,1002.205637410053,497.794362589947
CUY_00_186_02,387.0,397.03224531250595,10.03224531250595
CUY_00_212_02,762.0,540.8060432362771,221.1939567637229
CUY_00_087_02,1500.0,744.4354599609487,755.5645400390513
CUY_00_091_03,915.0,1212.1514762192417,297.15147621924166
CUY_00_087_09,1500.0,1145.3778713257748,354.6221286742252
CUY_01_024_05,771.1064,1284.9407211932012,513.8343211932012
CUY_01_024_10,771.1064,1177.5615457564097,406.4551457564097
CUY_01_024_03,771.1064,997.0923433416343,225.9859433416343
CUY_01_024_01,771.1064,1308.401717507122,537.2953175071219
CUY_01_024_11,771.1064,1135.1512831889374,364.04488318893743
CUY_01_026_06,734.81904,1515.9413002841138,781.1222602841138
CUY_00_217_04,1014.0,767.8964562748695,246.10354372513052
CUY_01_026_02,734.81904,1097.5535326858594,362.73449268585944
CUY_01_026_01,734.81904,1283.7375931771026,548.9185531771026
CUY_01_024_09,771.1064,1163.725573571277,392.619173571277
CUY_01_026_04,734.81904,1313.8157935795653,578.9967535795653
CUY_01_024_07,771.1064,1062.9636022230275,291.85720222302746
CUY_01_026_09,734.81904,1136.9559752130854,402.1369352130854
CUY_01_026_10,734.81904,923.7015343596256,188.88249435962564
CUY_01_024_08,771.1064,945.959402657448,174.85300265744797
CUY_01_026_12,734.81904,914.9788562429115,180.15981624291157
CUY_01_026_03,734.81904,1020.5533396555551,285.7342996555551
CUY_01_026_08,734.81904,986.5649732007724,251.74593320077247
CUY_01_026_11,734.81904,1155.9052414666367,421.0862014666367
CUY_01_024_02,771.1064,1112.291850883066,341.185450883066
CUY_01_026_07,734.81904,1096.3504046697608,361.5313646697608
CUY_01_026_05,734.81904,1366.7534262878994,631.9343862878994
CUY_01_024_06,771.1064,1884.0984732102556,1112.9920732102555
CUY_01_024_04,771.1064,1058.7526541666825,287.6462541666825
CUY_01_024_12,771.1064,843.6935212890752,72.58712128907518
CUY_01_035_10,535.23856,1060.2565641868057,525.0180041868057
CUY_01_026_13,734.81904,1256.065648806837,521.2466088068371
CUY_01_035_01,535.23856,972.7290010156396,437.4904410156396
CUY_01_035_12,535.23856,853.6193274218879,318.38076742188787
CUY_01_035_15,535.23856,954.0805167661129,418.84195676611284
CUY_01_026_16,734.81904,1067.7761142874215,332.9570742874215
CUY_01_026_14,734.81904,1204.3311441146016,469.5121041146016
CUY_01_026_15,734.81904,1011.2290975307917,276.41005753079173
CUY_01_035_09,535.23856,1068.076896291446,532.838336291446
CUY_01_026_17,734.81904,1211.5499122111926,476.7308722111926
CUY_01_035_14,535.23856,987.4673192128463,452.2287592128463
CUY_01_035_07,535.23856,903.248358085951,368.00979808595105
CUY_01_035_06,535.23856,1135.7528471969867,600.5142871969867
CUY_01_035_04,535.23856,1071.9870623437662,536.7485023437662
CUY_01_035_02,535.23856,985.3618451846739,450.12328518467393
CUY_01_066_02,381.01728,992.580613281265,611.5633332812649
CUY_01_049_07,408.2328,674.3532530232109,266.12045302321087
CUY_01_049_08,408.2328,714.6580415625108,306.4252415625108
CUY_01_043_15,1097.69264,1533.9882205255913,436.2955805255913
CUY_01_043_10,1097.69264,1227.190576420473,129.49793642047302
CUY_01_066_10,381.01728,939.6429805729308,558.6257005729308
CUY_01_043_04,1097.69264,1218.1671162997343,120.4744762997343
CUY_01_043_07,1097.69264,1810.707664228247,713.0150242282471
CUY_01_043_16,1097.69264,1252.7570467625662,155.06440676256625
CUY_01_049_06,408.2328,649.6891286931916,241.4563286931916
CUY_01_049_02,408.2328,757.9706501420569,349.7378501420569
CUY_01_066_08,381.01728,939.6429805729308,558.6257005729308
CUY_01_043_08,1097.69264,1407.6597788352485,309.96713883524853
CUY_01_049_04,408.2328,850.9122893856662,442.6794893856662
CUY_01_043_12,1097.69264,1109.885594850869,12.192954850869
CUY_01_049_01,408.2328,860.2365315104296,452.0037315104296
CUY_01_043_01,1097.69264,1365.2495162677762,267.55687626777626
CUY_01_066_06,381.01728,809.4043728302679,428.3870928302679
CUY_01_049_03,408.2328,1055.7448341264364,647.5120341264364
CUY_01_066_07,381.01728,800.0801307055044,419.0628507055044
CUY_01_043_02,1097.69264,1669.6409043406975,571.9482643406975
CUY_01_043_11,1097.69264,1111.6902868750167,13.997646875016699
CUY_01_049_10,408.2328,764.5878542305986,356.3550542305986
CUY_01_043_18,1097.69264,1273.5110050402654,175.81836504026546
CUY_01_066_04,381.01728,903.248358085951,522.231078085951
CUY_01_043_14,1097.69264,1193.8037739737395,96.11113397373947
CUY_01_066_01,381.01728,880.088143776055,499.0708637760549
CUY_01_066_09,381.01728,972.7290010156396,591.7117210156396
CUY_01_066_03,381.01728,1119.8114009836816,738.7941209836815
CUY_01_043_17,1097.69264,1130.9403351325927,33.24769513259275
CUY_01_043_05,1097.69264,1407.6597788352485,309.96713883524853
CUY_01_043_06,1097.69264,1515.9413002841138,418.24866028411384
CUY_01_043_03,1097.69264,1349.9096340625204,252.21699406252037
CUY_01_049_09,408.2328,1027.4713257481214,619.2385257481214
CUY_01_049_05,408.2328,663.2243188742998,254.9915188742998
CUY_01_066_05,381.01728,927.0101364038965,545.9928564038964
