Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
CUY_00_055_05,1170.0,704.5733871713021,465.4266128286979
CUY_00_081_11,1109.0,602.1015576007694,506.8984423992306
CUY_00_082_08,850.0,474.38304538242437,375.61695461757563
CUY_00_076_15,1426.0,620.5592163432877,805.4407836567123
CUY_00_050_07,1060.0,549.9109363288211,510.0890636711789
CUY_00_074_09,1296.0,533.7870045537477,762.2129954462523
CUY_00_050_02,1060.0,920.7613671555107,139.2386328444893
CUY_00_074_10,1296.0,692.9047523340779,603.0952476659221
CUY_00_076_01,1426.0,924.1558791081577,501.8441208918423
CUY_00_081_02,1109.0,432.8002739624981,676.1997260375019
CUY_00_074_03,1296.0,827.412288457717,468.58771154228305
CUY_00_071_01,1216.0,652.3827658993538,563.6172341006462
CUY_00_076_06,1426.0,627.9847112397032,798.0152887602968
CUY_00_081_09,1109.0,881.3001657059888,227.69983429401123
CUY_00_076_05,1426.0,618.6498033699238,807.3501966300762
CUY_00_081_06,1109.0,630.1062812101076,478.89371878989243
CUY_00_050_08,1060.0,528.4830796277366,531.5169203722634
CUY_00_071_02,1216.0,731.9416397895188,484.05836021048117
CUY_00_076_12,1426.0,746.7926295823497,679.2073704176503
CUY_00_055_02,1170.0,511.08620587042054,658.9137941295794
CUY_00_082_05,850.0,526.9979806484536,323.00201935154644
CUY_00_076_04,1426.0,670.2039536507507,755.7960463492493
CUY_00_076_02,1426.0,693.3290663281588,732.6709336718412
CUY_00_074_02,1296.0,1001.3810260308779,294.61897396912207
CUY_00_050_06,1060.0,677.2051345530853,382.79486544691474
CUY_00_071_03,1216.0,838.4444523038198,377.55554769618016
CUY_00_081_05,1109.0,653.8678648786369,455.13213512136315
CUY_00_074_06,1296.0,787.1024590200333,508.8975409799667
CUY_00_082_07,850.0,499.8418850272772,350.1581149727228
CUY_00_071_05,1216.0,695.874950292644,520.125049707356
CUY_00_081_04,1109.0,676.7808205590044,432.2191794409956
CUY_00_055_06,1170.0,952.1606027174959,217.83939728250414
CUY_00_082_06,850.0,454.440287660623,395.559712339377
